feature,mean_abs_shap,experiment,seed,fold
MedInc,0.3489938172413389,boosting_suite_catboost_baseline,42,-1
HouseAge,0.05291647256084896,boosting_suite_catboost_baseline,42,-1
AveRooms,0.15599286147615574,boosting_suite_catboost_baseline,42,-1
AveBedrms,0.028271768561393705,boosting_suite_catboost_baseline,42,-1
Population,0.026504010725507968,boosting_suite_catboost_baseline,42,-1
AveOccup,0.18657661604980508,boosting_suite_catboost_baseline,42,-1
Latitude,0.7919106235192028,boosting_suite_catboost_baseline,42,-1
Longitude,0.6968394342128988,boosting_suite_catboost_baseline,42,-1
MedInc,0.34143550618167495,boosting_suite_catboost_baseline,42,-1
HouseAge,0.05429995458066239,boosting_suite_catboost_baseline,42,-1
AveRooms,0.15871992500452903,boosting_suite_catboost_baseline,42,-1
AveBedrms,0.028519510358979955,boosting_suite_catboost_baseline,42,-1
Population,0.029581580188853138,boosting_suite_catboost_baseline,42,-1
AveOccup,0.18061394029950578,boosting_suite_catboost_baseline,42,-1
Latitude,0.8375563251862107,boosting_suite_catboost_baseline,42,-1
Longitude,0.742869263258622,boosting_suite_catboost_baseline,42,-1
MedInc,0.34068622388977515,boosting_suite_catboost_baseline,42,-1
HouseAge,0.053132696696091955,boosting_suite_catboost_baseline,42,-1
AveRooms,0.15288409161158711,boosting_suite_catboost_baseline,42,-1
AveBedrms,0.03018126297593227,boosting_suite_catboost_baseline,42,-1
Population,0.02904165428079422,boosting_suite_catboost_baseline,42,-1
AveOccup,0.18020813330606095,boosting_suite_catboost_baseline,42,-1
Latitude,0.7962308767767041,boosting_suite_catboost_baseline,42,-1
Longitude,0.7098048491462766,boosting_suite_catboost_baseline,42,-1
MedInc,0.3306931054115403,boosting_suite_catboost_baseline,42,-1
HouseAge,0.051969059743934704,boosting_suite_catboost_baseline,42,-1
AveRooms,0.1703402155257413,boosting_suite_catboost_baseline,42,-1
AveBedrms,0.028825523115973303,boosting_suite_catboost_baseline,42,-1
Population,0.028068655709577162,boosting_suite_catboost_baseline,42,-1
AveOccup,0.18112320955492175,boosting_suite_catboost_baseline,42,-1
Latitude,0.7723662875300668,boosting_suite_catboost_baseline,42,-1
Longitude,0.6878741936630521,boosting_suite_catboost_baseline,42,-1
MedInc,0.34783287614654773,boosting_suite_catboost_baseline,42,-1
HouseAge,0.055547215135104896,boosting_suite_catboost_baseline,42,-1
AveRooms,0.14431497323614206,boosting_suite_catboost_baseline,42,-1
AveBedrms,0.02998153235941631,boosting_suite_catboost_baseline,42,-1
Population,0.03623744602245356,boosting_suite_catboost_baseline,42,-1
AveOccup,0.18817136893415168,boosting_suite_catboost_baseline,42,-1
Latitude,0.9060400683513294,boosting_suite_catboost_baseline,42,-1
Longitude,0.7969595637150196,boosting_suite_catboost_baseline,42,-1
MedInc,0.28945861501897124,boosting_suite_catboost_baseline,77,-1
HouseAge,0.053859184484943354,boosting_suite_catboost_baseline,77,-1
AveRooms,0.14915813043497164,boosting_suite_catboost_baseline,77,-1
AveBedrms,0.028473834605130848,boosting_suite_catboost_baseline,77,-1
Population,0.026675566681010204,boosting_suite_catboost_baseline,77,-1
AveOccup,0.19955382344393197,boosting_suite_catboost_baseline,77,-1
Latitude,0.7156905957393938,boosting_suite_catboost_baseline,77,-1
Longitude,0.6364515901772503,boosting_suite_catboost_baseline,77,-1
MedInc,0.2952874788077475,boosting_suite_catboost_baseline,77,-1
HouseAge,0.05562412477226162,boosting_suite_catboost_baseline,77,-1
AveRooms,0.15169869250909682,boosting_suite_catboost_baseline,77,-1
AveBedrms,0.02957275952887414,boosting_suite_catboost_baseline,77,-1
Population,0.02839600240900936,boosting_suite_catboost_baseline,77,-1
AveOccup,0.1988009553711684,boosting_suite_catboost_baseline,77,-1
Latitude,0.7331083757131447,boosting_suite_catboost_baseline,77,-1
Longitude,0.6545492431860341,boosting_suite_catboost_baseline,77,-1
MedInc,0.29616376969743835,boosting_suite_catboost_baseline,77,-1
HouseAge,0.05778002124754508,boosting_suite_catboost_baseline,77,-1
AveRooms,0.16280502482886813,boosting_suite_catboost_baseline,77,-1
AveBedrms,0.02324451785246007,boosting_suite_catboost_baseline,77,-1
Population,0.026621578938507456,boosting_suite_catboost_baseline,77,-1
AveOccup,0.2063090134013195,boosting_suite_catboost_baseline,77,-1
Latitude,0.6783957241565016,boosting_suite_catboost_baseline,77,-1
Longitude,0.6027088384801952,boosting_suite_catboost_baseline,77,-1
MedInc,0.30072148351545286,boosting_suite_catboost_baseline,77,-1
HouseAge,0.05365733799174633,boosting_suite_catboost_baseline,77,-1
AveRooms,0.14727790828221612,boosting_suite_catboost_baseline,77,-1
AveBedrms,0.02772452791204079,boosting_suite_catboost_baseline,77,-1
Population,0.0283952746498803,boosting_suite_catboost_baseline,77,-1
AveOccup,0.20025274393000447,boosting_suite_catboost_baseline,77,-1
Latitude,0.7494983807915756,boosting_suite_catboost_baseline,77,-1
Longitude,0.6660979438518644,boosting_suite_catboost_baseline,77,-1
MedInc,0.2940956072079766,boosting_suite_catboost_baseline,77,-1
HouseAge,0.05235881655586695,boosting_suite_catboost_baseline,77,-1
AveRooms,0.14543315800665968,boosting_suite_catboost_baseline,77,-1
AveBedrms,0.030892030841189137,boosting_suite_catboost_baseline,77,-1
Population,0.02718006219880954,boosting_suite_catboost_baseline,77,-1
AveOccup,0.19874394503410342,boosting_suite_catboost_baseline,77,-1
Latitude,0.7404572810774711,boosting_suite_catboost_baseline,77,-1
Longitude,0.6722140074566626,boosting_suite_catboost_baseline,77,-1
MedInc,0.3646096531218027,boosting_suite_lightgbm_baseline,42,-1
HouseAge,0.05134042259359174,boosting_suite_lightgbm_baseline,42,-1
AveRooms,0.15408215692414604,boosting_suite_lightgbm_baseline,42,-1
AveBedrms,0.02614583665925333,boosting_suite_lightgbm_baseline,42,-1
Population,0.026588713547012633,boosting_suite_lightgbm_baseline,42,-1
AveOccup,0.19010917525440285,boosting_suite_lightgbm_baseline,42,-1
Latitude,0.5702284300171285,boosting_suite_lightgbm_baseline,42,-1
Longitude,0.4873797147993716,boosting_suite_lightgbm_baseline,42,-1
MedInc,0.3460900861362575,boosting_suite_lightgbm_baseline,42,-1
HouseAge,0.05044157730219056,boosting_suite_lightgbm_baseline,42,-1
AveRooms,0.17264414539327755,boosting_suite_lightgbm_baseline,42,-1
AveBedrms,0.025157930076692325,boosting_suite_lightgbm_baseline,42,-1
Population,0.026846989470881762,boosting_suite_lightgbm_baseline,42,-1
AveOccup,0.1905079590643351,boosting_suite_lightgbm_baseline,42,-1
Latitude,0.6116650170188462,boosting_suite_lightgbm_baseline,42,-1
Longitude,0.5264916128368147,boosting_suite_lightgbm_baseline,42,-1
MedInc,0.35037804069998013,boosting_suite_lightgbm_baseline,42,-1
HouseAge,0.05127219584459157,boosting_suite_lightgbm_baseline,42,-1
AveRooms,0.16657590942201916,boosting_suite_lightgbm_baseline,42,-1
AveBedrms,0.024574465611748822,boosting_suite_lightgbm_baseline,42,-1
Population,0.02683079187102179,boosting_suite_lightgbm_baseline,42,-1
AveOccup,0.18254110073933066,boosting_suite_lightgbm_baseline,42,-1
Latitude,0.5862499693490433,boosting_suite_lightgbm_baseline,42,-1
Longitude,0.4997202596902106,boosting_suite_lightgbm_baseline,42,-1
MedInc,0.3574846589630924,boosting_suite_lightgbm_baseline,42,-1
HouseAge,0.04962495110997851,boosting_suite_lightgbm_baseline,42,-1
AveRooms,0.16913216613497098,boosting_suite_lightgbm_baseline,42,-1
AveBedrms,0.024849364637961106,boosting_suite_lightgbm_baseline,42,-1
Population,0.02743610815216611,boosting_suite_lightgbm_baseline,42,-1
AveOccup,0.18600967694099194,boosting_suite_lightgbm_baseline,42,-1
Latitude,0.5746094098239078,boosting_suite_lightgbm_baseline,42,-1
Longitude,0.48951364724533875,boosting_suite_lightgbm_baseline,42,-1
MedInc,0.3598059779472407,boosting_suite_lightgbm_baseline,42,-1
HouseAge,0.05059122319475206,boosting_suite_lightgbm_baseline,42,-1
AveRooms,0.1559987931720016,boosting_suite_lightgbm_baseline,42,-1
AveBedrms,0.02665797400987751,boosting_suite_lightgbm_baseline,42,-1
Population,0.028453747138920512,boosting_suite_lightgbm_baseline,42,-1
AveOccup,0.1878212122770981,boosting_suite_lightgbm_baseline,42,-1
Latitude,0.5700615801192342,boosting_suite_lightgbm_baseline,42,-1
Longitude,0.48519336705325034,boosting_suite_lightgbm_baseline,42,-1
MedInc,0.30766736697101127,boosting_suite_lightgbm_baseline,77,-1
HouseAge,0.05263541398451834,boosting_suite_lightgbm_baseline,77,-1
AveRooms,0.1519447538366297,boosting_suite_lightgbm_baseline,77,-1
AveBedrms,0.02765478694197901,boosting_suite_lightgbm_baseline,77,-1
Population,0.02944832036120819,boosting_suite_lightgbm_baseline,77,-1
AveOccup,0.2049766961071991,boosting_suite_lightgbm_baseline,77,-1
Latitude,0.5511773234949671,boosting_suite_lightgbm_baseline,77,-1
Longitude,0.4671681602114484,boosting_suite_lightgbm_baseline,77,-1
MedInc,0.3061933370836472,boosting_suite_lightgbm_baseline,77,-1
HouseAge,0.05082950323857267,boosting_suite_lightgbm_baseline,77,-1
AveRooms,0.15660048573699598,boosting_suite_lightgbm_baseline,77,-1
AveBedrms,0.026454315410951345,boosting_suite_lightgbm_baseline,77,-1
Population,0.026826697717171815,boosting_suite_lightgbm_baseline,77,-1
AveOccup,0.2078816019144844,boosting_suite_lightgbm_baseline,77,-1
Latitude,0.5626892162054169,boosting_suite_lightgbm_baseline,77,-1
Longitude,0.4843712268257218,boosting_suite_lightgbm_baseline,77,-1
MedInc,0.2990999397341283,boosting_suite_lightgbm_baseline,77,-1
HouseAge,0.05030996994627586,boosting_suite_lightgbm_baseline,77,-1
AveRooms,0.1656909667137409,boosting_suite_lightgbm_baseline,77,-1
AveBedrms,0.022530035736924955,boosting_suite_lightgbm_baseline,77,-1
Population,0.026266676461148875,boosting_suite_lightgbm_baseline,77,-1
AveOccup,0.21266060298272219,boosting_suite_lightgbm_baseline,77,-1
Latitude,0.5449262527290788,boosting_suite_lightgbm_baseline,77,-1
Longitude,0.46207888678510706,boosting_suite_lightgbm_baseline,77,-1
MedInc,0.31111769593769734,boosting_suite_lightgbm_baseline,77,-1
HouseAge,0.04940462311329956,boosting_suite_lightgbm_baseline,77,-1
AveRooms,0.1511016279171988,boosting_suite_lightgbm_baseline,77,-1
AveBedrms,0.02488351331094568,boosting_suite_lightgbm_baseline,77,-1
Population,0.02579333560640234,boosting_suite_lightgbm_baseline,77,-1
AveOccup,0.20164313643141338,boosting_suite_lightgbm_baseline,77,-1
Latitude,0.5429451071145575,boosting_suite_lightgbm_baseline,77,-1
Longitude,0.4681594557096008,boosting_suite_lightgbm_baseline,77,-1
MedInc,0.308368107849724,boosting_suite_lightgbm_baseline,77,-1
HouseAge,0.051585115941929806,boosting_suite_lightgbm_baseline,77,-1
AveRooms,0.16066900231096173,boosting_suite_lightgbm_baseline,77,-1
AveBedrms,0.027110931181046124,boosting_suite_lightgbm_baseline,77,-1
Population,0.028538780901794132,boosting_suite_lightgbm_baseline,77,-1
AveOccup,0.20588688283854686,boosting_suite_lightgbm_baseline,77,-1
Latitude,0.5592980845534745,boosting_suite_lightgbm_baseline,77,-1
Longitude,0.47928119999256114,boosting_suite_lightgbm_baseline,77,-1
MedInc,0.3390449872835092,boosting_suite_xgboost_baseline,42,-1
HouseAge,0.053801545465323446,boosting_suite_xgboost_baseline,42,-1
AveRooms,0.17402534314350632,boosting_suite_xgboost_baseline,42,-1
AveBedrms,0.02715236553716152,boosting_suite_xgboost_baseline,42,-1
Population,0.03241844225048405,boosting_suite_xgboost_baseline,42,-1
AveOccup,0.1825927786200202,boosting_suite_xgboost_baseline,42,-1
Latitude,0.703468811054481,boosting_suite_xgboost_baseline,42,-1
Longitude,0.6086773322878671,boosting_suite_xgboost_baseline,42,-1
MedInc,0.33389692440931107,boosting_suite_xgboost_baseline,42,-1
HouseAge,0.0563755802998354,boosting_suite_xgboost_baseline,42,-1
AveRooms,0.16672129251020362,boosting_suite_xgboost_baseline,42,-1
AveBedrms,0.02715978090807655,boosting_suite_xgboost_baseline,42,-1
Population,0.03145640953154574,boosting_suite_xgboost_baseline,42,-1
AveOccup,0.17140557765430597,boosting_suite_xgboost_baseline,42,-1
Latitude,0.6839009275432292,boosting_suite_xgboost_baseline,42,-1
Longitude,0.6049154917449989,boosting_suite_xgboost_baseline,42,-1
MedInc,0.3467984790563889,boosting_suite_xgboost_baseline,42,-1
HouseAge,0.05704477210104472,boosting_suite_xgboost_baseline,42,-1
AveRooms,0.15948398050456405,boosting_suite_xgboost_baseline,42,-1
AveBedrms,0.029545952032391912,boosting_suite_xgboost_baseline,42,-1
Population,0.034915890878393106,boosting_suite_xgboost_baseline,42,-1
AveOccup,0.18013944682475624,boosting_suite_xgboost_baseline,42,-1
Latitude,0.6925167392921714,boosting_suite_xgboost_baseline,42,-1
Longitude,0.6007094908996078,boosting_suite_xgboost_baseline,42,-1
MedInc,0.3346660866499683,boosting_suite_xgboost_baseline,42,-1
HouseAge,0.054345033027754355,boosting_suite_xgboost_baseline,42,-1
AveRooms,0.17623549110742678,boosting_suite_xgboost_baseline,42,-1
AveBedrms,0.0292380342442049,boosting_suite_xgboost_baseline,42,-1
Population,0.031577520803101035,boosting_suite_xgboost_baseline,42,-1
AveOccup,0.1836180415286854,boosting_suite_xgboost_baseline,42,-1
Latitude,0.6843849609088702,boosting_suite_xgboost_baseline,42,-1
Longitude,0.5980409226061917,boosting_suite_xgboost_baseline,42,-1
MedInc,0.34865629304520696,boosting_suite_xgboost_baseline,42,-1
HouseAge,0.056865739416004944,boosting_suite_xgboost_baseline,42,-1
AveRooms,0.15971131580496595,boosting_suite_xgboost_baseline,42,-1
AveBedrms,0.029241784191483714,boosting_suite_xgboost_baseline,42,-1
Population,0.03128476378252269,boosting_suite_xgboost_baseline,42,-1
AveOccup,0.18032962944906564,boosting_suite_xgboost_baseline,42,-1
Latitude,0.718903466281999,boosting_suite_xgboost_baseline,42,-1
Longitude,0.6241663928717576,boosting_suite_xgboost_baseline,42,-1
MedInc,0.30684526659645506,boosting_suite_xgboost_baseline,77,-1
HouseAge,0.05428620944741243,boosting_suite_xgboost_baseline,77,-1
AveRooms,0.14935757115966075,boosting_suite_xgboost_baseline,77,-1
AveBedrms,0.027307675361845377,boosting_suite_xgboost_baseline,77,-1
Population,0.031148287367025972,boosting_suite_xgboost_baseline,77,-1
AveOccup,0.20713271400073224,boosting_suite_xgboost_baseline,77,-1
Latitude,0.6146679752392155,boosting_suite_xgboost_baseline,77,-1
Longitude,0.5254932005504379,boosting_suite_xgboost_baseline,77,-1
MedInc,0.30323987246294176,boosting_suite_xgboost_baseline,77,-1
HouseAge,0.055602847333813,boosting_suite_xgboost_baseline,77,-1
AveRooms,0.14903199120661295,boosting_suite_xgboost_baseline,77,-1
AveBedrms,0.029812810516842078,boosting_suite_xgboost_baseline,77,-1
Population,0.03171750562625355,boosting_suite_xgboost_baseline,77,-1
AveOccup,0.20945752021999492,boosting_suite_xgboost_baseline,77,-1
Latitude,0.6668335850151667,boosting_suite_xgboost_baseline,77,-1
Longitude,0.5851286176561391,boosting_suite_xgboost_baseline,77,-1
MedInc,0.2965431923679594,boosting_suite_xgboost_baseline,77,-1
HouseAge,0.05558639068173059,boosting_suite_xgboost_baseline,77,-1
AveRooms,0.16221555991350115,boosting_suite_xgboost_baseline,77,-1
AveBedrms,0.02384571300088814,boosting_suite_xgboost_baseline,77,-1
Population,0.03074784304148671,boosting_suite_xgboost_baseline,77,-1
AveOccup,0.20817514220273,boosting_suite_xgboost_baseline,77,-1
Latitude,0.6087395589838598,boosting_suite_xgboost_baseline,77,-1
Longitude,0.5240439591611428,boosting_suite_xgboost_baseline,77,-1
MedInc,0.31441114734815306,boosting_suite_xgboost_baseline,77,-1
HouseAge,0.05419125000229411,boosting_suite_xgboost_baseline,77,-1
AveRooms,0.142795110737424,boosting_suite_xgboost_baseline,77,-1
AveBedrms,0.024910080612054665,boosting_suite_xgboost_baseline,77,-1
Population,0.029454912808687242,boosting_suite_xgboost_baseline,77,-1
AveOccup,0.20233782821535481,boosting_suite_xgboost_baseline,77,-1
Latitude,0.6521829981768208,boosting_suite_xgboost_baseline,77,-1
Longitude,0.5645849906702675,boosting_suite_xgboost_baseline,77,-1
MedInc,0.31078474213315554,boosting_suite_xgboost_baseline,77,-1
HouseAge,0.05524457510559605,boosting_suite_xgboost_baseline,77,-1
AveRooms,0.15304722332721535,boosting_suite_xgboost_baseline,77,-1
AveBedrms,0.029516854501882298,boosting_suite_xgboost_baseline,77,-1
Population,0.02968304442684595,boosting_suite_xgboost_baseline,77,-1
AveOccup,0.20630746301126376,boosting_suite_xgboost_baseline,77,-1
Latitude,0.6895607678431727,boosting_suite_xgboost_baseline,77,-1
Longitude,0.597490990299333,boosting_suite_xgboost_baseline,77,-1
MedInc,0.34181139930919613,feature_ablation_xgboost_baseline,42,-1
HouseAge,0.053350486471598034,feature_ablation_xgboost_baseline,42,-1
AveRooms,0.17328069431137433,feature_ablation_xgboost_baseline,42,-1
AveBedrms,0.027581119535975963,feature_ablation_xgboost_baseline,42,-1
Population,0.0316639811694423,feature_ablation_xgboost_baseline,42,-1
AveOccup,0.18262822245978075,feature_ablation_xgboost_baseline,42,-1
Latitude,0.7066433264188733,feature_ablation_xgboost_baseline,42,-1
Longitude,0.6114448809457064,feature_ablation_xgboost_baseline,42,-1
MedInc,0.33341982881762816,feature_ablation_xgboost_baseline,42,-1
HouseAge,0.05641591920225239,feature_ablation_xgboost_baseline,42,-1
AveRooms,0.1672792146320768,feature_ablation_xgboost_baseline,42,-1
AveBedrms,0.02744587105130445,feature_ablation_xgboost_baseline,42,-1
Population,0.03201866460131773,feature_ablation_xgboost_baseline,42,-1
AveOccup,0.17102645032998237,feature_ablation_xgboost_baseline,42,-1
Latitude,0.6836883942343468,feature_ablation_xgboost_baseline,42,-1
Longitude,0.604050214360248,feature_ablation_xgboost_baseline,42,-1
MedInc,0.34480372517947977,feature_ablation_xgboost_baseline,42,-1
HouseAge,0.05722130272503909,feature_ablation_xgboost_baseline,42,-1
AveRooms,0.16135485711621161,feature_ablation_xgboost_baseline,42,-1
AveBedrms,0.028782161506445157,feature_ablation_xgboost_baseline,42,-1
Population,0.03406822081173389,feature_ablation_xgboost_baseline,42,-1
AveOccup,0.18019888284601382,feature_ablation_xgboost_baseline,42,-1
Latitude,0.6925283967396761,feature_ablation_xgboost_baseline,42,-1
Longitude,0.6002616659402633,feature_ablation_xgboost_baseline,42,-1
MedInc,0.33478559813529685,feature_ablation_xgboost_baseline,42,-1
HouseAge,0.0526147623469249,feature_ablation_xgboost_baseline,42,-1
AveRooms,0.17576057597814787,feature_ablation_xgboost_baseline,42,-1
AveBedrms,0.028971259646206837,feature_ablation_xgboost_baseline,42,-1
Population,0.031867639847734164,feature_ablation_xgboost_baseline,42,-1
AveOccup,0.18324891944293273,feature_ablation_xgboost_baseline,42,-1
Latitude,0.68365414295879,feature_ablation_xgboost_baseline,42,-1
Longitude,0.5966794344437487,feature_ablation_xgboost_baseline,42,-1
MedInc,0.34801715761136903,feature_ablation_xgboost_baseline,42,-1
HouseAge,0.05705108504486295,feature_ablation_xgboost_baseline,42,-1
AveRooms,0.1618342998306896,feature_ablation_xgboost_baseline,42,-1
AveBedrms,0.0316678030497201,feature_ablation_xgboost_baseline,42,-1
Population,0.03170365672579607,feature_ablation_xgboost_baseline,42,-1
AveOccup,0.18008053447034636,feature_ablation_xgboost_baseline,42,-1
Latitude,0.7183550935832537,feature_ablation_xgboost_baseline,42,-1
Longitude,0.6226379872696854,feature_ablation_xgboost_baseline,42,-1
MedInc,0.3615558949412078,feature_ablation_xgboost_poly2,42,-1
HouseAge,0.05354522887406674,feature_ablation_xgboost_poly2,42,-1
AveRooms,0.15724339408876925,feature_ablation_xgboost_poly2,42,-1
AveBedrms,0.02980329796720403,feature_ablation_xgboost_poly2,42,-1
Population,0.03164301450454064,feature_ablation_xgboost_poly2,42,-1
AveOccup,0.1854621661175229,feature_ablation_xgboost_poly2,42,-1
Latitude,0.7647143110420203,feature_ablation_xgboost_poly2,42,-1
Longitude,0.6685701703975481,feature_ablation_xgboost_poly2,42,-1
MedInc,0.3530631116728939,feature_ablation_xgboost_poly2,42,-1
HouseAge,0.05991587651973683,feature_ablation_xgboost_poly2,42,-1
AveRooms,0.16125631021782055,feature_ablation_xgboost_poly2,42,-1
AveBedrms,0.03151448666166696,feature_ablation_xgboost_poly2,42,-1
Population,0.02941069509798495,feature_ablation_xgboost_poly2,42,-1
AveOccup,0.1846000063285752,feature_ablation_xgboost_poly2,42,-1
Latitude,0.7430408616859738,feature_ablation_xgboost_poly2,42,-1
Longitude,0.6450008416507492,feature_ablation_xgboost_poly2,42,-1
MedInc,0.3595116206581561,feature_ablation_xgboost_poly2,42,-1
HouseAge,0.05787917012168345,feature_ablation_xgboost_poly2,42,-1
AveRooms,0.16148869496482876,feature_ablation_xgboost_poly2,42,-1
AveBedrms,0.030505128276104628,feature_ablation_xgboost_poly2,42,-1
Population,0.033717309156605514,feature_ablation_xgboost_poly2,42,-1
AveOccup,0.18496516645274594,feature_ablation_xgboost_poly2,42,-1
Latitude,0.7386548482935978,feature_ablation_xgboost_poly2,42,-1
Longitude,0.6379670469357014,feature_ablation_xgboost_poly2,42,-1
MedInc,0.35437769823000437,feature_ablation_xgboost_poly2,42,-1
HouseAge,0.05495048870005952,feature_ablation_xgboost_poly2,42,-1
AveRooms,0.1705905301155095,feature_ablation_xgboost_poly2,42,-1
AveBedrms,0.032650280514486714,feature_ablation_xgboost_poly2,42,-1
Population,0.029680264120284097,feature_ablation_xgboost_poly2,42,-1
AveOccup,0.17789512242796118,feature_ablation_xgboost_poly2,42,-1
Latitude,0.7169674879476604,feature_ablation_xgboost_poly2,42,-1
Longitude,0.62078909954324,feature_ablation_xgboost_poly2,42,-1
MedInc,0.36640902064957115,feature_ablation_xgboost_poly2,42,-1
HouseAge,0.0608649621368505,feature_ablation_xgboost_poly2,42,-1
AveRooms,0.154676090916764,feature_ablation_xgboost_poly2,42,-1
AveBedrms,0.03269036648725693,feature_ablation_xgboost_poly2,42,-1
Population,0.031101291324459296,feature_ablation_xgboost_poly2,42,-1
AveOccup,0.18700532683468013,feature_ablation_xgboost_poly2,42,-1
Latitude,0.758700852753268,feature_ablation_xgboost_poly2,42,-1
Longitude,0.6618168702276899,feature_ablation_xgboost_poly2,42,-1
